순번,영화명,관객수
170,타워,"1,186,378"
171,7급 공무원,"1,173,540"
172,아마겟돈,"1,170,252"
173,공공의 적 2,"1,167,828"
174,공공의 적,"1,161,500"
175,공작,"1,158,098"
176,안시성,"1,145,408"
177,데드풀 2,"1,145,254"
178,다빈치 코드,"1,144,795"
179,"님아, 그 강을 건너지 마오","1,140,795"
180,해리 포터와 불사조 기사단,"1,134,747"
181,스파이더맨,"1,125,568"
182,너의 이름은.,"1,124,392"
183,바람과 함께 사라지다,"1,122,802"
184,클리프 행어,"1,118,583"
185,미이라,"1,114,916"
186,광복절 특사,"1,097,363"
187,혹성탈출: 반격의 서막,"1,095,630"
188,리얼 스틸,"1,090,591"
189,슈렉,"1,078,886"
190,한반도,"1,077,033"
191,300,"1,076,005"
192,맨 인 블랙 3,"1,068,672"
193,너는 내 운명,"1,063,480"
194,쥬라기 공원,"1,063,352"
195,데드풀,"1,062,535"
196,진주만,"1,061,151"
197,강철비,"1,060,541"
198,마더,"1,060,010"
199,댄싱퀸,"1,055,086"
200,스타워즈: 깨어난 포스,"1,047,074"
201,쿵푸팬더3,"1,045,418"
202,역린,"1,044,988"
203,이끼,"1,044,532"
204,연가시,"1,040,068"
205,서편제,"1,035,741"
206,미이라 3:황제의 무덤,"1,027,371"
207,코코,"1,024,250"
208,말죽거리 잔혹사,"1,023,601"
209,베놈,"1,022,672"
210,"장화, 홍련","1,017,027"
211,타짜-신의 손,"1,016,403"
212,우주전쟁,"1,006,450"
213,쥬라기 공원 2 - 잃어버린 세계 ,"1,001,279"
214,용의자,"997,760"
215,원티드,"994,356"
216,다이 하드 4 : 죽어도 산다,"990,440"
217,덩케르크,"989,011"
218,늑대와 춤을,"984,978"
219,하울의 움직이는 성,"981,221"
220,우리들의 행복한 시간,"980,772"
221,다이 하드 3 ,"979,666"
222,콘에어 ,"979,100"
223,캐리비안의 해적: 낯선 조류,"977,452"
224,방자전,"975,688"
225,부러진 화살,"972,059"
226,원초적 본능,"970,180"
227,신의 한 수,"965,372"
228,황산벌,"960,394"
229,투모로우,"959,010"
230,워낭소리,"958,688"
231,오! 브라더스,"952,010"
232,오! 브라더스,"952,010"
233,미이라2,"948,170"
234,슈렉3,"945,899"
235,서치,"945,890"
236,부당거래,"944,655"
237,거북이 달린다,"942,277"
238,패션 오브 크라이스트,"940,230"
239,러브 액츄얼리,"940,000"
240,센과 치히로의 행방불명,"937,459"
241,분노의 질주: 더 익스트림,"932,027"
242,꾼,"931,901"
243,매트릭스3 레볼루션,"930,031"
244,끝까지 간다,"927,324"
245,킬링필드 ,"925,994"
246,인디펜던스 데이 ,"923,223"
247,마파도,"922,647"
248,라이온 킹,"920,948"
249,터미네이터 2,"919,444"
250,식객,"913,989"
251,호빗: 뜻밖의 여정,"910,976"
252,시라노; 연애조작단,"910,652"
253,미이라,"909,202"
254,해리 포터와 혼혈 왕자,"907,125"
255,더 록 ,"906,676"
256,주유소 습격사건,"905,500"
257,내 생애 가장 아름다운 일주일,"902,189"
258,취권,"898,561"
259,매트릭스 ,"897,882"
260,박수건달,"894,127"
261,해리포터와 아즈카반의 죄수,"892,900"
262,신기전,"891,357"
263,버티컬 리미트,"890,785"
264,남한산성,"889,444"
265,어거스트 러쉬,"886,657"
266,토르: 다크 월드,"885,699"
267,황금 나침반,"883,918"
268,판도라,"880,999"
269,인크레더블 2,"880,533"
270,어린 신부,"876,600"
271,트루 라이즈 ,"874,664"
272,스피드 ,"874,225"
273,벤허,"873,163"
274,킬러들의 수다,"871,125"
275,엑스맨: 퍼스트 클래스,"870,595"
276,나홀로 집에,"869,820"
277,음란서생,"868,692"
278,해리 포터와 죽음의 성물1,"866,701"
279,분노의 질주: 더 세븐,"864,171"
280,핸콕,"860,691"
281,투캅스,"860,433"
282,싱글즈,"859,575"
283,제5원소 ,"857,752"
284,무사,"857,148"
285,선생 김봉두,"856,680"
286,2009로스트메모리즈,"856,150"
287,암수살인,"855,263"
288,나우 유 씨 미 : 마술사기단,"855,244"
289,가디언즈 오브 갤럭시 VOL. 2,"854,131"
290,터미네이터 제니시스,"852,065"
291,맨 인 블랙 2,"851,190"
292,나우 유 씨 미 2,"850,601"
293,혹성탈출: 진화의 시작,"849,251"
294,엑스맨: 아포칼립스,"847,621"
295,쉰들러 리스트 ,"847,259"
296,드래곤 길들이기,"846,400"
297,조선명탐정 : 사라진 놉의 딸,"845,522"
298,레드: 더 레전드,"841,287"
299,앤트맨,"840,337"
300,캐리비안의 해적: 죽은 자는 말이 없다,"839,897"
301,솔트,"837,532"
302,터미네이터 3,"832,827"
303,그놈 목소리,"826,287"
304,테이큰,"825,364"
305,헬로우 고스트,"823,854"
306,포화속으로,"822,965"
307,고지전,"817,904"
308,26년,"817,210"
309,박수칠 때 떠나라,"815,497"
310,굿모닝 프레지던트,"815,403"
311,내가 살인범이다,"809,580"
312,호빗: 다섯 군대 전투,"809,402"
313,"인디아나 존스 - 마궁의 사원, 저주받은 사원 ","808,492"
314,광식이 동생 광태,"806,193"
315,메이즈 러너,"805,570"
316,오페라의 유령,"803,288"
317,귀향,"801,788"
318,타이탄,"798,779"
319,제이슨 본,"797,790"
320,식스 센스,"797,761"
321,오싹한 연애,"797,727"
322,내 머리 속의 지우개,"797,593"
323,아이 캔 스피크,"796,658"
324,영웅,"795,000"
325,나는 전설이다,"793,993"
326,007 스카이폴,"793,030"
327,포세이돈,"787,738"
328,반칙왕,"787,423"
329,아이 엠 샘,"779,728"
330,가문의 부활 - 가문의 영광3,"779,445"
331,범죄의 재구성,"776,898"
332,퍼시픽 림,"776,183"
333,셜록홈즈 : 그림자 게임,"774,620"
334,지.아이.조 : 전쟁의 서막,"774,359"
335,빅 히어로,"772,249"
336,스파이더맨 2,"771,915"
337,나잇&데이,"771,899"
338,뮬란,"771,194"
339,슈렉 포에버,"767,056"
340,"달콤, 살벌한 연인","766,007"
341,위험한 상견례,"765,417"
342,혈의 누,"763,864"
343,레디 플레이어 원,"763,259"
