순번,영화명,관객수
142 ,제5원소 ,"857,752 "
143 ,나우 유 씨 미 : 마술사기단,"855,244 "
144 ,가디언즈 오브 갤럭시 VOL. 2,"854,131 "
145 ,터미네이터 제니시스,"852,065 "
146 ,맨 인 블랙 2,"851,190 "
147 ,나우 유 씨 미 2,"850,601 "
148 ,혹성탈출: 진화의 시작,"849,251 "
149 ,엑스맨: 아포칼립스,"847,621 "
150 ,쉰들러 리스트 ,"847,259 "
151 ,드래곤 길들이기,"846,400 "
152 ,레드: 더 레전드,"841,287 "
153 ,앤트맨,"840,337 "
154 ,캐리비안의 해적: 죽은 자는 말이 없다,"839,897 "
155 ,솔트,"837,532 "
156 ,터미네이터 3,"832,827 "
157 ,테이큰,"825,364 "
158 ,호빗: 다섯 군대 전투,"809,402 "
159 ,"인디아나 존스 - 마궁의 사원, 저주받은 사원 ","808,492 "
160 ,메이즈 러너,"805,570 "
161 ,오페라의 유령,"803,288 "
162 ,타이탄,"798,779 "
163 ,제이슨 본,"797,790 "
164 ,식스 센스,"797,761 "
165 ,영웅,"795,000 "
166 ,나는 전설이다,"793,993 "
167 ,007 스카이폴,"793,030 "
168 ,포세이돈,"787,738 "
169 ,아이 엠 샘,"779,728 "
170 ,퍼시픽 림,"776,183 "
171 ,셜록홈즈 : 그림자 게임,"774,620 "
172 ,지.아이.조 : 전쟁의 서막,"774,359 "
173 ,빅 히어로,"772,249 "
174 ,스파이더맨 2,"771,915 "
175 ,나잇&데이,"771,899 "
176 ,뮬란,"771,194 "
177 ,슈렉 포에버,"767,056 "
178 ,레디 플레이어 원,"763,259 "
179 ,본 얼티메이텀,"762,025 "
180 ,이상한 나라의 앨리스,"760,628 "
181 ,드래곤 길들이기 2,"751,931 "
182 ,보디가드,"747,238 "
183 ,스타워즈:에피소드1 보이지 않는 위험 ,"746,654 "
184 ,브레이킹 던 part2,"745,970 "
185 ,적벽대전 2 : 최후의 결전,"743,318 "
186 ,셜록 홈즈,"739,965 "
187 ,캐리비안의 해적 : 블랙펄의 저주,"738,275 "
188 ,미스 페레그린과 이상한 아이들의 집,"737,280 "
189 ,맘마미아!2,"732,550 "
190 ,캐스트 어웨이,"732,404 "
191 ,"색, 계","731,668 "
192 ,타잔,"726,542 "
193 ,도리를 찾아서,"724,706 "
194 ,캐치 미 이프 유 캔,"724,331 "
195 ,슈퍼배드 3,"723,552 "
196 ,맨 오브 스틸,"720,823 "
197 ,007 퀀텀 오브 솔러스,"717,142 "
198 ,페이스오프,"716,107 "
199 ,시카고,"715,000 "
200 ,"나니아 연대기-사자,마녀 그리고 옷장","714,948 "
201 ,디 아더스,"714,730 "
202 ,포레스트 검프,"705,143 "
203 ,정글북,"702,113 "
204 ,엑스맨 : 최후의 전쟁,"699,530 "
205 ,메이즈 러너: 스코치 트라이얼,"697,898 "
206 ,콘스탄틴,"697,500 "
207 ,이글 아이,"695,165 "
208 ,테이큰 2,"692,896 "
209 ,나를 찾아줘,"681,067 "
210 ,타워링,"678,233 "
211 ,블랙 스완,"677,998 "
212 ,닥터 지바고,"671,041 "
213 ,브리짓 존스의 일기2 : 열정과 애정,"670,406 "
214 ,악마는 프라다를 입는다,"664,697 "
215 ,토이 스토리 2,"664,180 "
216 ,배트맨 대 슈퍼맨: 저스티스의 시작,"663,637 "
217 ,에어 포스 원,"663,415 "
218 ,맨인블랙 ,"662,106 "
219 ,마이펫의 이중생활,"656,542 "
220 ,로건,"655,286 "
221 ,다이너소어,"654,446 "
222 ,천사와 악마,"653,372 "
223 ,스타워즈 에피소드3 - 시스의복수,"651,210 "
224 ,다이 하드 2,"651,009 "
225 ,벤자민 버튼의 시간은 거꾸로 간다,"649,782 "
226 ,이클립스,"648,625 "
227 ,스파이,"648,385 "
228 ,알라딘,"647,266 "
229 ,수퍼맨 리턴즈,"646,008 "
230 ,러브레터,"645,615 "
231 ,미녀삼총사 : 맥시멈 스피드,"645,472 "
232 ,원더 우먼,"639,541 "
233 ,람보 2,"639,098 "
234 ,딥 임팩트,"637,387 "
235 ,뉴 문,"636,212 "
236 ,위플래쉬,"635,871 "
237 ,라이프 오브 파이,"631,357 "
238 ,대부,"631,242 "
239 ,미니언즈,"630,536 "
240 ,겟 아웃,"630,367 "
241 ,위대한 개츠비,"625,029 "
242 ,미션 임파서블 ,"622,237 "
243 ,니모를 찾아서,"620,593 "
244 ,이티,"618,256 "
245 ,이집트 왕자,"613,973 "
246 ,레버넌트: 죽음에서 돌아온 자,"613,536 "
247 ,페르시아의 왕자: 시간의 모래,"613,211 "
248 ,논스톱,"611,415 "
249 ,오션스 일레븐,"610,100 "
250 ,트랜스포머: 최후의 기사,"609,345 "
251 ,레옹 ,"606,875 "
252 ,위대한 쇼맨,"606,546 "
253 ,언터처블: 1%의 우정,"606,387 "
254 ,장화신은 고양이,"606,226 "
255 ,배틀쉽,"597,715 "
256 ,노아,"596,745 "
257 ,라이언 일병 구하기,"593,681 "
258 ,컨저링,"593,487 "
259 ,퍼펙트 스톰,"592,768 "
260 ,미녀와 야수,"590,904 "
261 ,뷰티풀 마인드,"589,882 "
262 ,로맨틱 홀리데이,"588,379 "
