순번,영화명,관객수
387 ,황비홍,"434,739 "
388 ,씽,"434,689 "
389 ,데이라잇,"434,099 "
390 ,닌자 어쌔신,"430,606 "
391 ,샌 안드레아스,"430,540 "
392 ,언브레이커블,"429,163 "
393 ,킹 아더,"428,080 "
394 ,나니아 연대기:캐스피언 왕자 ,"427,352 "
395 ,러시 아워 2,"424,351 "
396 ,말레피센트,"423,807 "
397 ,라따뚜이,"422,379 "
398 ,쥬만지: 새로운 세계,"421,003 "
399 ,오만과 편견,"420,814 "
400 ,엑스맨 탄생: 울버린,"417,619 "
401 ,셜록: 유령신부,"414,976 "
402 ,히트,"412,819 "
403 ,업,"411,959 "
404 ,사랑할 때 버려야 할 아까운 것들,"411,765 "
405 ,토탈리콜,"410,076 "
406 ,지옥의 특전대,"410,049 "
407 ,폼페이: 최후의 날,"409,656 "
408 ,고질라 ,"409,262 "
409 ,포스트맨은 벨을 두번 울린다,"408,446 "
410 ,퓨리,"408,093 "
411 ,와일드 와일드 웨스트,"407,309 "
412 ,용형호제 2,"403,802 "
413 ,엘리시움,"403,184 "
414 ,배트맨 비긴즈,"400,574 "
415 ,터보,"398,526 "
416 ,인디펜던스 데이 : 리써전스,"398,361 "
417 ,프렌치 키스 ,"398,027 "
418 ,프로젝트 A,"396,434 "
419 ,샤키 머신,"396,336 "
420 ,에이리언: 커버넌트,"396,001 "
421 ,시티 오브 엔젤,"395,806 "
422 ,턱시도,"394,405 "
423 ,스타탄생,"394,311 "
424 ,세븐,"394,034 "
425 ,스튜어트 리틀,"392,933 "
426 ,볼케이노 ,"392,677 "
427 ,아메리칸 뷰티,"391,640 "
428 ,오션스 트웰브,"388,518 "
429 ,브레드레스 ,"388,385 "
430 ,죠스,"388,263 "
431 ,007 문레이커,"387,790 "
432 ,데몰리션 맨,"387,460 "
433 ,스타 트렉: 더 비기닝,"386,396 "
434 ,25시 ,"385,522 "
435 ,헝거게임: 캣칭 파이어,"385,304 "
436 ,스페셜리스트 ,"384,981 "
437 ,월드 인베이젼,"384,389 "
438 ,나는 네가 지난 여름에 한 일을 알고 있다 ,"383,520 "
439 ,콩: 스컬 아일랜드,"382,935 "
440 ,암흑가의 두 사람,"382,289 "
441 ,마다가스카의 펭귄,"382,230 "
442 ,죽은 시인의 사회,"381,925 "
443 ,몬스터 하우스,"381,359 "
444 ,스타트렉 비욘드,"381,110 "
445 ,취권 2 ,"378,715 "
446 ,토탈 리콜,"378,245 "
447 ,아이스 에이지 4: 대륙 이동설,"376,094 "
448 ,게이샤의 추억,"375,553 "
449 ,피라미드의 공포,"374,680 "
450 ,셔터 아일랜드,"373,974 "
451 ,다이하드: 굿 데이 투 다이,"373,401 "
452 ,툼레이더 2 : 판도라의 상자,"373,182 "
453 ,마루 밑 아리에티,"373,176 "
454 ,나타샤,"373,112 "
455 ,볼트,"373,046 "
456 ,드라큘라: 전설의 시작,"372,677 "
457 ,프로메테우스,"372,315 "
458 ,월터의 상상은 현실이 된다,"371,403 "
459 ,지아이제인,"370,890 "
460 ,벅스 라이프,"369,032 "
461 ,혹성탈출,"369,005 "
462 ,해피 데스데이,"365,202 "
463 ,레지던트 이블 4: 끝나지 않은 전쟁 3D,"365,095 "
464 ,만딩고,"364,519 "
465 ,할로우 맨,"364,201 "
466 ,파비안느,"364,089 "
467 ,백야 ,"363,905 "
468 ,스크림,"363,588 "
469 ,자칼 ,"362,979 "
470 ,스텝업 2 : 더 스트리트,"361,893 "
471 ,라푼젤,"361,383 "
472 ,밀리언 달러 베이비,"361,085 "
473 ,마다가스카 2,"360,893 "
474 ,스타쉽 트루퍼스 ,"359,472 "
475 ,동방불패,"359,463 "
476 ,코만도 ,"357,615 "
477 ,웜 바디스,"357,532 "
478 ,쿵푸 허슬,"357,292 "
479 ,벤허,"356,087 "
480 ,마이웨이,"355,821 "
481 ,록키,"355,608 "
482 ,007 골든 아이 ,"355,498 "
483 ,보디히트,"355,098 "
484 ,뱀파이어와의 인터뷰 ,"354,718 "
485 ,킹콩,"353,696 "
486 ,디어헌터,"351,631 "
487 ,노잉,"351,082 "
488 ,에이리언3,"349,150 "
489 ,아웃오브 아프리카 ,"348,967 "
490 ,레이더스,"348,489 "
491 ,본 레거시,"347,976 "
492 ,패닉 룸,"347,631 "
493 ,오스트레일리아,"347,547 "
494 ,6번째 날,"347,487 "
495 ,스타워즈 에피소드 4 - 새로운 희망 ,"347,255 "
496 ,드림걸즈,"346,622 "
497 ,주온,"345,769 "
498 ,밴티지 포인트,"345,107 "
499 ,헬 나이트,"344,919 "
500 ,고스트바스터즈,"344,420 "
