,벤쿠버,칸,아카데미,토론토,베를린,백상,대종상,청룡
2007년,페르세폴리스,"4개월, 3주... 그리고 2일",디파티드,이스턴 프라미스,투야의 결혼,타짜,가족의 탄생,우아한 세계
2008년,당신을 오랫동안 사랑했어요,클래스,노인을 위한 나라는 없다,슬럼독 밀리어네어,엘리트 스쿼드,추격자,추격자,우리 생애 최고의 순간
2009년,,하얀 리본,슬럼독 밀리어네어,러브드 원스,밀크 오브 소로우 - 슬픈 모유,강철중: 공공의 적 1-1,신기전,마더
2010년,,엉클 분미,허트 로커,킹스 스피치,벌꿀,해운대,시,의형제
2011년,,트리 오브 라이프,킹스 스피치,레이드,씨민과 나데르의 별거,악마를 보았다,고지전,부당거래
2012년,,아무르,아티스트,더 실버 라이닝스 플레이북,시저 머스트 다이,범죄와의 전쟁 : 나쁜놈들 전성시대,"광해, 왕이 된 남자",피에타
2013년,,"가장 따뜻한 색, 블루",아르고,노예 12년,차일즈 포즈,7번방의 선물,관상,소원
2014년,,윈터 슬립,노예 12년,이미테이션 게임,백일염화,송강호,명량,변호인
2015년,,디판,버드맨,룸,택시,최민식,국제시장,암살
2016년,,"나, 다니엘 블레이크",스포트라이트,라라랜드,파이어 앳 시,이준익,내부자들,내부자들
2017년,,더 스퀘어,문라이트,"쓰리 빌보드 아웃사이드 에빙, 미주리",온 바디 앤드 소울,아가씨,택시운전사,택시운전사
2018년,어느 가족,어느 가족,셰이프 오브 워터: 사랑의 모양,그린 북,터치 미 낫,1987,버닝,
